id_municipio,uf,homicidio_media,homicidio_cv,roubo_veiculo_media,furto_veiculo_media,total_crimes_violentos,proporcao_roubo_furto,tendencia_homicidios,volatilidade_crimes,nome_municipio,is_capital,cluster,indice_criminalidade,is_hotspot
3533106,SP,0.01,10.0736,0.0,0.02,0.01,0.0059,0.0242,0.48,Nova Guataporanga,0,6,0.0,False
3533205,SP,0.01,10.6523,0.0,0.04,0.03,0.007,0.0009,1.44,Nova Independência,0,6,0.0001,False
3533403,SP,0.3,1.7685,4.54,11.83,7.06,0.1117,-0.0015,33.17,Nova Odessa,0,3,0.0022,False
3533007,SP,0.13,2.5747,0.09,0.82,0.36,0.013,-0.0003,9.86,Nova Granada,0,3,0.0007,False
3532900,SP,0.05,4.7356,0.07,0.32,0.25,0.045,-0.0071,2.52,Nova Europa,0,5,0.0002,False
3532868,SP,0.0,14.6938,0.01,0.02,0.03,0.0417,-0.0109,0.33,Nova Castilho,0,4,0.0,False
3532843,SP,0.0,14.2799,0.0,0.02,0.01,0.0113,0.0068,0.51,Nova Canaã Paulista,0,4,0.0,False
3532827,SP,0.04,5.0767,0.01,0.15,0.09,0.0091,0.0019,3.16,Nova Campina,0,5,0.0002,False
3532801,SP,0.01,8.4451,0.01,0.25,0.11,0.0223,0.0054,2.38,Nova Aliança,0,6,0.0001,False
3532702,SP,0.02,7.4994,0.0,0.16,0.04,0.0051,0.0152,2.49,Nipoã,0,6,0.0001,False
3532504,SP,0.04,5.1107,0.04,0.2,0.14,0.0167,-0.0011,3.48,Neves Paulista,0,5,0.0002,False
3532603,SP,0.02,7.1641,0.06,0.45,0.13,0.0165,0.0103,4.02,Nhandeara,0,6,0.0002,False
3532405,SP,0.41,1.6013,1.21,1.14,2.21,0.1078,-0.0097,9.09,Nazaré Paulista,0,3,0.0016,False
3532157,SP,0.01,10.9302,0.02,0.02,0.03,0.0162,-0.0023,0.74,Nantes,0,6,0.0,False
3532306,SP,0.1,2.9402,0.04,0.29,0.2,0.0169,0.0051,3.15,Natividade da Serra,0,5,0.0004,False
3532108,SP,0.01,8.9061,0.0,0.09,0.02,0.0013,-0.0067,1.82,Murutinga do Sul,0,6,0.0001,False
3532207,SP,0.02,7.2966,0.01,0.05,0.03,0.0041,0.0098,1.95,Narandiba,0,6,0.0001,False
3532058,SP,0.02,7.6967,0.09,0.11,0.14,0.0665,0.0056,1.05,Motuca,0,6,0.0001,False
3532009,SP,0.08,3.6076,0.33,0.84,0.68,0.0697,0.0002,4.78,Morungaba,0,5,0.0004,False
3531704,SP,0.02,6.2578,0.1,0.22,0.21,0.0528,0.0001,2.02,Monteiro Lobato,0,5,0.0001,False
3531902,SP,0.24,1.9298,0.28,1.23,1.1,0.0299,-0.0001,16.27,Morro Agudo,0,3,0.0013,False
3531803,SP,0.99,1.1521,5.13,4.56,8.75,0.1931,-0.0057,21.26,Monte Mor,0,3,0.0041,False
3531308,SP,0.19,2.5011,0.37,3.84,1.73,0.035,-0.0036,25.02,Monte Alto,0,3,0.0014,False
3531605,SP,0.01,8.9061,0.01,0.05,0.03,0.0125,-0.015,0.77,Monte Castelo,0,6,0.0001,False
3531506,SP,0.09,3.3085,0.07,0.68,0.38,0.0151,-0.0048,10.92,Monte Azul Paulista,0,3,0.0006,False
3531407,SP,0.15,2.3472,0.1,0.98,0.43,0.0139,-0.0,11.29,Monte Aprazível,0,3,0.0008,False
3531209,SP,0.01,8.9061,0.04,0.26,0.13,0.0299,0.0068,2.23,Monte Alegre do Sul,0,6,0.0001,False
3531100,SP,0.67,1.367,6.37,13.65,19.0,0.1463,-0.0042,68.51,Mongaguá,0,3,0.005,False
3531001,SP,0.01,8.9061,0.04,0.06,0.05,0.0267,0.0114,0.81,Monções,0,6,0.0001,False
3530706,SP,0.78,1.1837,6.59,27.25,16.62,0.0943,-0.002,93.25,Mogi Guaçu,0,3,0.006,False
3530904,SP,0.04,5.0767,0.08,0.18,0.14,0.044,-0.0038,1.36,Mombuca,0,5,0.0002,False
3530805,SP,0.58,1.3701,6.24,23.02,12.13,0.0916,-0.0022,70.08,Mogi Mirim,0,3,0.0045,False
3530607,SP,3.35,0.7366,19.52,57.43,44.79,0.1142,-0.0035,199.41,Mogi das Cruzes,0,3,0.0184,True
3530508,SP,0.26,1.9713,0.87,4.18,2.33,0.0352,-0.0051,33.28,Mococa,0,3,0.0019,False
3530201,SP,0.13,2.788,0.08,0.42,0.28,0.0082,-0.0011,10.21,Mirante do Paranapanema,0,3,0.0007,False
3530102,SP,0.16,2.5178,0.05,0.37,0.36,0.0099,0.0002,11.54,Mirandópolis,0,3,0.0009,False
3530409,SP,0.02,6.6515,0.01,0.19,0.03,0.0027,0.0119,2.4,Mirassolândia,0,6,0.0001,False
3529609,SP,0.0,15.4882,0.02,0.08,0.03,0.0134,-0.0124,1.08,Meridiano,0,4,0.0,False
3530300,SP,0.27,2.0461,0.43,3.32,1.48,0.0171,-0.0001,40.34,Mirassol,0,3,0.0022,False
3530003,SP,0.01,8.9061,0.01,0.07,0.03,0.0108,-0.002,1.11,Mira Estrela,0,6,0.0001,False
3529906,SP,0.52,1.4271,1.58,0.95,4.65,0.1348,-0.0027,16.94,Miracatu,0,3,0.0023,False
